Date,Close price,Open price,High price,Low price,Volume,
14/10/2020,940.18,931.89,940.18,931.89,474.92,
13/10/2020,929.86,926.76,930.96,923.78,359.02,
12/10/2020,925.83,930.78,933.13,923.28,457.23,
9/10/2020,924,919.48,924,917.7,388.13,
8/10/2020,918.84,922.08,922.08,913.89,470.30,
7/10/2020,919.72,913.62,923.57,912.69,523.96,
6/10/2020,915.67,918.11,918.93,912.77,496.13,
5/10/2020,914.68,913.77,915.55,910.96,456.10,
2/10/2020,909.91,914.09,916.67,897.72,527.16,
1/10/2020,914.09,910.13,914.09,909.13,352.45,
30/09/2020,905.21,904.34,907,900.44,340.69,
29/09/2020,903.98,916.63,917.49,903.98,465.36,
28/09/2020,912.5,911.2,913.6,910.04,420.24,
25/09/2020,908.27,910.78,911.3,905.56,361.23,
24/09/2020,908.58,910.53,914.51,907.32,398.46,
23/09/2020,912.5,908.97,913.52,908.97,392.51,
22/09/2020,906.19,905.9,909.69,902.47,401.41,
21/09/2020,907.94,904.5,909.78,904.5,403.44,
18/09/2020,900.95,896.08,902.11,895.82,361.84,
17/09/2020,894.04,897.47,899.41,890.93,395.46,
16/09/2020,897.47,897.43,897.58,894.63,290.43,
15/09/2020,896.26,896.61,898.74,894.66,381.80,
14/09/2020,894.57,891.89,895.31,891.89,364.43,
11/9/2020,888.97,888.82,890.98,884.67,309.91,
10/9/2020,888.82,895.29,896.78,888.82,387.24,
9/9/2020,889.32,883.68,892.4,881.57,318.44,
8/9/2020,890.14,891.61,894.58,884.88,294.02,
7/9/2020,888.25,903.85,905.8,888.25,434.06,
4/9/2020,901.54,896.02,903.11,893.86,346.44,
3/9/2020,903.97,898.25,904.32,896.26,370.49,
1/9/2020,891.73,882.4,892.51,880.79,317.00,
31/08/2020,881.65,882.13,888.44,879.26,352.65,
28/08/2020,878.98,878.79,885.86,877.7,398.32,
27/08/2020,874.71,872.38,875.71,871.93,325.72,
26/08/2020,873.47,873.62,876.97,871.78,352.38,
25/08/2020,874.12,870.92,877.57,870.92,399.07,
24/08/2020,868.68,860.35,868.68,860.35,381.52,
21/08/2020,854.78,849.99,856.45,849.69,286.82,
20/08/2020,848.21,851.21,856.99,847.44,285.69,
19/08/2020,851.21,847.19,853.15,846.22,240.15,
18/08/2020,846.43,850.15,851.06,845,227.51,
17/08/2020,850.15,848.08,852.05,841.62,237.51,
14/08/2020,850.74,854.29,860.32,848.38,304.71,
13/08/2020,855.05,849.96,855.19,849.86,256.25,
12/8/2020,846.92,844.19,848.54,842.88,272.49,
11/8/2020,843.08,847.61,847.61,840.35,249.00,
10/8/2020,843.2,845.11,849.52,843.2,309.30,
7/8/2020,841.46,840.65,844.33,836.84,259.89,
6/8/2020,840.04,838.01,844.16,833.56,257.02,
5/8/2020,837.8,827.54,839.52,820.74,306.64,
4/8/2020,827.57,822.86,827.57,820.2,277.45,
