Date,Price
19/07/2013,13890000
22/07/2013,13230000
23/07/2013,12150000
24/07/2013,12690000
25/07/2013,13470000
26/07/2013,13410000
29/07/2013,13540000
30/07/2013,13450000
31/07/2013,13550000
01/08/2013,12890000
02/08/2013,12660000
05/08/2013,12290000
06/08/2013,12190000
07/08/2013,13170000
08/08/2013,12500000
09/08/2013,12880000
12/08/2013,13520000
13/08/2013,12860000
14/08/2013,12480000
15/08/2013,14140000
16/08/2013,14560000
19/08/2013,14940000
20/08/2013,15220000
21/08/2013,16000000
22/08/2013,15260000
23/08/2013,14290000
26/08/2013,14370000
27/08/2013,16560000
28/08/2013,16960000
29/08/2013,16790000
30/08/2013,16750000
03/09/2013,16470000
04/09/2013,16880000
05/09/2013,16120000
06/09/2013,15350000
09/09/2013,15860000
10/09/2013,14890000
11/09/2013,14740000
12/09/2013,13930000
13/09/2013,14270000
16/09/2013,14100000
17/09/2013,14440000
18/09/2013,14680000
19/09/2013,13020000
20/09/2013,13300000
23/09/2013,14040000
24/09/2013,14170000
25/09/2013,14240000
26/09/2013,13800000
27/09/2013,14620000
30/09/2013,17490000
01/10/2013,16310000
02/10/2013,16400000
03/10/2013,16630000
04/10/2013,17720000
07/10/2013,18760000
08/10/2013,19010000
09/10/2013,20190000
10/10/2013,17660000
11/10/2013,16310000
14/10/2013,17080000
15/10/2013,16410000
16/10/2013,17140000
17/10/2013,14520000
18/10/2013,12860000
21/10/2013,13340000
22/10/2013,12990000
23/10/2013,13710000
24/10/2013,13500000
25/10/2013,13160000
28/10/2013,13620000
29/10/2013,13250000
30/10/2013,13720000
31/10/2013,13830000
01/11/2013,13460000
04/11/2013,13350000
05/11/2013,13220000
06/11/2013,13010000
07/11/2013,12990000
08/11/2013,13760000
11/11/2013,12850000
12/11/2013,12800000
13/11/2013,13350000
14/11/2013,12800000
15/11/2013,12120000
18/11/2013,12410000
19/11/2013,13030000
20/11/2013,13560000
21/11/2013,13090000
22/11/2013,12690000
